source_name	source_id	source_date	type_ordre	sexe	nom	prenom	nom_complet	objet (données brutes)	a_sa_demande	ambassadeur	ambassadeur_pays	ambassadeur_thematique	autres_prenoms	cabinet	cabinet_ministeriel	conseil_administration	conseil_des_ministres	conseiller_affaire_etrangeres	corps	cour_comptes	date_debut	date_fin	depart_retraite	duree	nom_alternatif
JORF	JORFTEXT000043360169	2021-04-14	nomination	M	De Sury D'aspremont	Arnaud	Arnaud DE SURY D'ASPREMONT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Commonwealth des Bahamas;en résidence à Panama		oui	Bahamas						oui								
JORF	JORFTEXT000043360166	2021-04-14	nomination	F	Boccoz	Michèle	Michèle BOCCOZ	ambassadrice extraordinaire et plénipotentiaire de la République française auprès des Etats fédérés de Micronésie;en résidence à Manille		oui	Micronésie						oui								
JORF	JORFTEXT000043311693	2021-04-01	nomination	F	Boccoz	Michèle	Michèle BOCCOZ	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République des îles Marshall;en résidence à Manille		oui	Îles Marshall						oui								
JORF	JORFTEXT000043185238	2021-02-26	nomination	F	Boccoz	Michèle	Michèle BOCCOZ	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République des Palaos;en résidence à Manille		oui	Palaos						oui								
JORF	JORFTEXT000043179316	2021-02-25	nomination	F	Borione	Delphine	Delphine BORIONE	ambassadrice pour les droits de l'homme, chargée de la dimension internationale de la Shoah, des spoliations et du devoir de mémoire		oui		oui					oui								
JORF	JORFTEXT000043081686	2021-01-31	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à la Grenade;en résidence à Castries		oui	Grenade						oui								
JORF	JORFTEXT000042896821	2021-01-10	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à Saint-Vincent-et-les-Grenadines;en résidence à Castries		oui	Saint-Vincent-et-les Grenadines						oui								
JORF	JORFTEXT000042896818	2021-01-10	nomination	M	Lechevallier	Aurélien	Aurélien LECHEVALLIER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Malawi;en résidence à Pretoria		oui	Malawi						oui								
JORF	JORFTEXT000042846801	2021-01-03	nomination	M	Fonbaustier	Marc	Marc FONBAUSTIER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Sierra Leone;en résidence à Conakry		oui	Sierra Leone						oui								
JORF	JORFTEXT000042845969	2021-01-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la Fédération de Saint-Christophe-et-Niévès;en résidence à Castries		oui	Saint-Christophe-et-Niévès						oui								
JORF	JORFTEXT000042845966	2021-01-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Commonwealth de Dominique;en résidence à Castries		oui	Dominique						oui								
JORF	JORFTEXT000042845963	2021-01-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à la Barbade;en résidence à Castries		oui	Barbade						oui								
JORF	JORFTEXT000042845960	2021-01-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à Antigua-et-Barbuda;en résidence à Castries		oui	Antigua-et-Barbuda						oui								
JORF	JORFTEXT000042695270	2020-12-18	nomination	M	Delahousse	François	François DELAHOUSSE	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République kirghize		oui	Kirghizistan						oui								
JORF	JORFTEXT000042665832	2020-12-15	nomination	M	Thimonier	Christian	Christian THIMONIER	ambassadeur extraordinaire et plénipotentiaire de la République française au Monténégro		oui	Monténégro						oui								
JORF	JORFTEXT000042602516	2020-12-03	cessation de fonction	M	Fitou	Jean-François	Jean-François FITOU	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République des Fidji		oui	Fidji						oui								
JORF	JORFTEXT000042570379	2020-11-27	nomination	F	Grenet-Catalano	Salina	Salina GRENET-CATALANO	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République de Chypre		oui	Chypre						oui								
JORF	JORFTEXT000042565265	2020-11-26	nomination	M	Voiry	Philippe	Philippe VOIRY	ambassadeur pour les commissions intergouvernementales, la coopération et les questions frontalières		oui		oui					oui								
JORF	JORFTEXT000042565262	2020-11-26	nomination	M	Poivre D'arvor	Olivier	Olivier POIVRE D'ARVOR	ambassadeur en charge des pôles et des enjeux maritimes		oui		oui					oui								
JORF	JORFTEXT000042546240	2020-11-22	nomination	M	Lemoine	Guillaume	Guillaume LEMOINE	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de l'Etat indépendant de Papouasie-Nouvelle-Guinée		oui	Papouasie-Nouvelle-Guinée						oui								
JORF	JORFTEXT000042515931	2020-11-13	nomination	M	Mathou	Thierry	Thierry MATHOU	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Royaume de Thaïlande		oui	Thaïlande						oui								
JORF	JORFTEXT000042482151	2020-10-31	nomination	F	Boccoz	Michèle	Michèle BOCCOZ	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République des Philippines		oui	Philippines						oui								
JORF	JORFTEXT000042472541	2020-10-29	nomination	M	Crouzat	Stéphane	Stéphane CROUZAT	ambassadeur chargé des négociations sur le changement climatique, pour les énergies renouvelables et la prévention des risques climatiques		oui		oui					oui								
JORF	JORFTEXT000042452594	2020-10-22	nomination	M	Roux	Michaël	Michaël ROUX	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Liberia		oui	Liberia						oui								
JORF	JORFTEXT000042418532	2020-10-13	nomination	M	Vosgien	Daniel	Daniel VOSGIEN	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République d'Angola		oui	Angola						oui								
JORF	JORFTEXT000042418529	2020-10-13	nomination	M	Galharague	Roland	Roland GALHARAGUE	ambassadeur extraordinaire et plénipotentiaire de la République française en Malaisie		oui	Malaisie						oui								
JORF	JORFTEXT000042398282	2020-10-06	nomination	M	Belliard	Jean-Christophe	Jean-Christophe BELLIARD	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Côte d'Ivoire		oui	Côte d'Ivoire						oui								
JORF	JORFTEXT000042387663	2020-10-02	nomination	F	Barsacq	Elisabeth	Elisabeth BARSACQ	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République d'Albanie		oui	Albanie						oui								
JORF	JORFTEXT000042387660	2020-10-02	nomination	M	Dutertre	Alexis	Alexis DUTERTRE	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République tchèque		oui	République tchèque						oui								
JORF	JORFTEXT000042383465	2020-10-01	nomination	M	Setton	Philippe	Philippe SETTON	ambassadeur extraordinaire et plénipotentiaire de la République française au Japon		oui	Japon						oui								
JORF	JORFTEXT000042383462	2020-10-01	nomination	M	Baumgartner	Cyrille	Cyrille BAUMGARTNER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Macédoine du Nord		oui	Macédoine						oui								
JORF	JORFTEXT000042383459	2020-10-01	nomination	M	Goldblatt	François	François GOLDBLATT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Zambie		oui	Zambie						oui								
