source_name	source_id	source_date	type_ordre	sexe	nom	prenom	nom_complet	objet (données brutes)	a_sa_demande	ambassadeur	ambassadeur_pays	ambassadeur_thematique	autres_prenoms	cabinet	cabinet_ministeriel	conseil_administration	conseil_des_ministres	conseiller_affaire_etrangeres	corps	cour_comptes	date_debut	date_fin	depart_retraite	duree	nom_alternatif
JORF	JORFTEXT000043360169	2021-04-14	nomination	M	De Sury D'aspremont	Arnaud	Arnaud DE SURY D'ASPREMONT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Commonwealth des Bahamas;en résidence à Panama		oui	Bahamas						oui								
JORF	JORFTEXT000043360166	2021-04-14	nomination	F	Boccoz	Michèle	Michèle BOCCOZ	ambassadrice extraordinaire et plénipotentiaire de la République française auprès des Etats fédérés de Micronésie;en résidence à Manille		oui	Micronésie						oui								
JORF	JORFTEXT000043311693	2021-04-01	nomination	F	Boccoz	Michèle	Michèle BOCCOZ	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République des îles Marshall;en résidence à Manille		oui	Îles Marshall						oui								
JORF	JORFTEXT000043185238	2021-02-26	nomination	F	Boccoz	Michèle	Michèle BOCCOZ	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République des Palaos;en résidence à Manille		oui	Palaos						oui								
JORF	JORFTEXT000043179316	2021-02-25	nomination	F	Borione	Delphine	Delphine BORIONE	ambassadrice pour les droits de l'homme, chargée de la dimension internationale de la Shoah, des spoliations et du devoir de mémoire		oui		oui					oui								
JORF	JORFTEXT000043081686	2021-01-31	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à la Grenade;en résidence à Castries		oui	Grenade						oui								
JORF	JORFTEXT000042896821	2021-01-10	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à Saint-Vincent-et-les-Grenadines;en résidence à Castries		oui	Saint-Vincent-et-les Grenadines						oui								
JORF	JORFTEXT000042896818	2021-01-10	nomination	M	Lechevallier	Aurélien	Aurélien LECHEVALLIER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Malawi;en résidence à Pretoria		oui	Malawi						oui								
JORF	JORFTEXT000042846801	2021-01-03	nomination	M	Fonbaustier	Marc	Marc FONBAUSTIER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Sierra Leone;en résidence à Conakry		oui	Sierra Leone						oui								
JORF	JORFTEXT000042845969	2021-01-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la Fédération de Saint-Christophe-et-Niévès;en résidence à Castries		oui	Saint-Christophe-et-Niévès						oui								
JORF	JORFTEXT000042845966	2021-01-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Commonwealth de Dominique;en résidence à Castries		oui	Dominique						oui								
JORF	JORFTEXT000042845963	2021-01-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à la Barbade;en résidence à Castries		oui	Barbade						oui								
JORF	JORFTEXT000042845960	2021-01-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à Antigua-et-Barbuda;en résidence à Castries		oui	Antigua-et-Barbuda						oui								
JORF	JORFTEXT000042695270	2020-12-18	nomination	M	Delahousse	François	François DELAHOUSSE	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République kirghize		oui	Kirghizistan						oui								
JORF	JORFTEXT000042665832	2020-12-15	nomination	M	Thimonier	Christian	Christian THIMONIER	ambassadeur extraordinaire et plénipotentiaire de la République française au Monténégro		oui	Monténégro						oui								
JORF	JORFTEXT000042602516	2020-12-03	cessation de fonction	M	Fitou	Jean-François	Jean-François FITOU	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République des Fidji		oui	Fidji						oui								
JORF	JORFTEXT000042570379	2020-11-27	nomination	F	Grenet-Catalano	Salina	Salina GRENET-CATALANO	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République de Chypre		oui	Chypre						oui								
JORF	JORFTEXT000042565265	2020-11-26	nomination	M	Voiry	Philippe	Philippe VOIRY	ambassadeur pour les commissions intergouvernementales, la coopération et les questions frontalières		oui		oui					oui								
JORF	JORFTEXT000042565262	2020-11-26	nomination	M	Poivre D'arvor	Olivier	Olivier POIVRE D'ARVOR	ambassadeur en charge des pôles et des enjeux maritimes		oui		oui					oui								
